gap_hours,iuu_caught,spherical_distances,eez_check,exact _name new from diff Oceans,gap_x_distance,score,gear type
291.5,0,4175.829113,0,South Pacific Ocean,1217254.186,98,set_longlines
31.31666667,0,88.10015481,0,South Atlantic Ocean,2759.003182,98,set_longlines
65.76666667,0,15.799128,0,South Atlantic Ocean,1039.055985,98,set_longlines
207.0666667,0,164.9407258,1,Coral Sea,34153.72629,91,set_longlines
116.1166667,0,70.50875412,1,Indian Ocean,8187.241502,88,pole_and_line
16.95,0,12.32148693,1,Indian Ocean,208.8492035,88,pole_and_line
136.6166667,0,41.40299199,1,Indian Ocean,5656.338757,88,pole_and_line
154.0833333,0,78.86778714,1,Indian Ocean,12152.21153,88,pole_and_line
147.1,0,378.7724593,1,Indian Ocean,55717.42876,88,pole_and_line
37.55,0,41.39810744,1,Indian Ocean,1554.498934,88,pole_and_line
112.9166667,0,244.3400364,1,Indian Ocean,27590.06245,91,set_longlines
14.81666667,0,1.380811176,1,Indian Ocean,20.45901893,91,pots_and_traps
12.13333333,0,4.877406414,1,Indian Ocean,59.17919781,91,pots_and_traps
1626.433333,0,210.3100879,1,Indian Ocean,342055.3372,98,set_longlines
20.38333333,0,5.57274795,1,South Pacific Ocean,113.591179,84,fishing
67.58333333,0,17.57781497,0,Southern Ocean,1187.967328,94,set_longlines
34.58333333,0,18.15945275,0,Southern Ocean,628.0144075,94,set_longlines
66.98333333,0,14.60360421,1,Southern Ocean,978.1980886,98,set_longlines
47.91666667,0,16.56047182,1,Tasman Sea,793.5226081,91,fishing
122.5333333,0,649.5581976,0,Indian Ocean,79592.53112,98,fishing
30.01666667,0,107.0116525,0,Indian Ocean,3212.133103,98,fishing
15.6,0,27.38834115,1,South Atlantic Ocean,427.2581219,94,pole_and_line
18.21666667,0,137.7420186,1,South Atlantic Ocean,2509.200439,91,fishing
12.61666667,0,4.163999691,1,South Atlantic Ocean,52.53579612,89,fishing
31.18333333,0,344.4150315,1,South Atlantic Ocean,10740.00873,91,fishing
169.1,0,307.2775446,1,South Atlantic Ocean,51960.63279,98,fishing
31.65,0,21.75229065,1,South Atlantic Ocean,688.4599991,91,drifting_longlines
13.45,0,12.56864716,1,South Atlantic Ocean,169.0483043,91,pole_and_line
