vessel_class,gap_hours,iuu_caught,spherical_distances,eez_check,Ocean List New whose false were in OG
other,17.76666667,0,15.28024254,0,pacific
other,13.8,0,20.89614692,0,pacific
other,19.71666667,0,27.34052087,0,pacific
other,16.3,0,17.13143519,0,indian
other,2689.55,0,2786.153161,0,indian
other,19.46666667,0,336.7427625,0,pacific
other,16.18333333,0,23.2489463,1,pacific
other,442.65,0,54.83385858,0,pacific
other,253.95,0,716.8567795,0,pacific
other,12.96666667,0,115.0391987,0,pacific
other,12.56666667,0,14.81965524,0,pacific
other,228.9833333,0,178.4825872,0,pacific
other,24.43333333,0,113.2359407,0,pacific
other,46.41666667,0,37.5261334,0,atlantic
other,68.11666667,0,73.70922541,0,atlantic
other,48.45,0,194.860262,0,atlantic
other,50.1,0,30.80501794,0,atlantic
other,23.61666667,1,312.7718688,0,atlantic
other,13.3,0,71.23682102,0,atlantic
other,105.6166667,0,27.21084745,0,pacific
other,22.3,0,54.14266209,0,pacific
other,29.51666667,0,7.276409198,1,indian
other,13.76666667,0,1.700710093,1,indian
other,28.05,0,83.5502028,1,indian
other,13.3,0,7.663972123,1,indian
other,16.93333333,0,3.469403178,1,indian
other,17.21666667,0,26.4653488,1,indian
other,878.9166667,0,4461.487299,0,pacific
other,18.71666667,0,237.8381697,1,pacific
other,33.05,0,438.7497205,0,indian
other,18.6,0,5.317962328,1,atlantic
other,13.31666667,0,2.678621575,1,atlantic
other,13.86666667,0,112.9751993,1,atlantic
other,16.18333333,0,68.70331481,1,atlantic
other,94.36666667,0,36.18484329,1,indian
other,12.78333333,0,123.2810271,1,atlantic
other,45.56666667,0,63.16752583,1,indian
other,70.15,0,65.93677655,1,indian
other,155.95,0,124.4836819,1,indian
other,15.95,0,13.56578253,1,indian
other,17.78333333,0,6.723162012,1,indian
other,14.4,0,4.703127739,0,indian
other,394.4666667,0,135.9433711,1,indian
other,122.0333333,0,102.8236896,1,indian
other,15.43333333,0,101.4126754,1,atlantic
other,64.36666667,0,208.8252781,0,southern
other,225.0833333,0,1793.705323,0,southern
other,641.6666667,0,945.8575825,1,atlantic
other,21.05,0,33.57689075,0,atlantic
other,55.85,0,552.1283041,1,atlantic
other,1275.966667,0,6563.453875,0,indian
other,240.4666667,0,141.622469,1,atlantic
other,16.68333333,0,248.7889463,1,atlantic
other,147.7833333,0,611.1844298,1,atlantic
other,95.88333333,0,414.6693409,1,atlantic
other,28.46666667,0,132.8353687,1,atlantic
other,16.6,0,145.7871823,1,atlantic
other,23.11666667,0,224.4693425,1,atlantic
other,13.85,0,21.32458455,1,atlantic
other,73.83333333,0,32.02989561,1,atlantic
other,118.1,0,53.42433869,1,atlantic
other,14.5,0,197.6941932,0,atlantic
other,51.38333333,0,399.6401732,0,atlantic
other,340.85,0,18.76495908,1,atlantic
other,159.15,0,90.64300836,1,atlantic
other,20.83333333,0,101.3918401,1,atlantic
other,18.21666667,0,365.6167065,0,atlantic
other,14.26666667,0,258.1947881,1,atlantic
other,18.56666667,0,18.44930602,1,atlantic
other,16.3,0,265.0932193,0,atlantic
other,12.33333333,0,20.791883,1,atlantic
other,13.11666667,0,7.452164481,1,atlantic
other,17.26666667,0,10.06324059,1,atlantic
other,14.51666667,0,29.5293298,1,atlantic
other,27.76666667,0,491.9886312,1,atlantic
other,17.71666667,0,6.92553398,1,atlantic
other,18.4,0,2.313220808,1,atlantic
other,14.31666667,0,15.60100775,1,atlantic
other,17.75,0,95.6237791,1,atlantic
other,17.31666667,0,285.5126188,1,atlantic
other,16.05,0,7.51143782,1,atlantic
other,12.41666667,0,179.0508424,1,atlantic
other,229.75,0,607.7704966,1,atlantic
other,12.16666667,0,10.36661339,1,atlantic
other,19.4,0,36.76070136,1,atlantic
other,16.2,0,224.6960684,1,atlantic
other,2780.916667,0,18618.30175,0,pacific
other,26.36666667,0,0.918203807,1,atlantic
other,18.66666667,0,363.744601,0,atlantic
other,63.1,0,89.10383159,1,atlantic
other,17.26666667,0,10.11552406,1,arctic
other,20.06666667,0,23.78010293,1,arctic
other,14.03333333,0,17.30688974,1,arctic
other,12.8,0,287.0580858,1,arctic
other,14.33333333,0,115.6498293,1,southern
other,20.41666667,0,404.0383372,1,arctic
other,49.68333333,0,323.6002793,1,arctic
other,16.28333333,0,7.69459455,1,arctic
other,46.45,0,13.93328519,0,atlantic
other,53.8,0,7.451673001,0,atlantic
other,18,0,282.9266861,0,southern
