,exact_name
880,Bering Sea
881,Bering Sea
882,Bering Sea
883,Bering Sea
884,Bering Sea
885,North Pacific Ocean
886,North Pacific Ocean
887,North Pacific Ocean
888,Bering Sea
889,Bering Sea
890,Bering Sea
891,Bering Sea
892,Bering Sea
893,Bering Sea
894,Bering Sea
895,Bering Sea
896,Bering Sea
897,Bering Sea
898,North Pacific Ocean
899,Bering Sea
900,North Pacific Ocean
901,North Pacific Ocean
902,Bering Sea
903,South Pacific Ocean
904,South Pacific Ocean
905,South Pacific Ocean
906,North Pacific Ocean
907,Bering Sea
908,Bering Sea
909,Bering Sea
910,Bering Sea
911,Bering Sea
912,Bering Sea
913,North Pacific Ocean
914,North Pacific Ocean
915,Bering Sea
916,Bering Sea
917,North Pacific Ocean
918,Bering Sea
919,Bering Sea
920,North Pacific Ocean
921,South Pacific Ocean
922,South Pacific Ocean
923,Bering Sea
924,Bering Sea
925,Bering Sea
926,Bering Sea
927,North Pacific Ocean
928,Bering Sea
929,Bering Sea
930,South Pacific Ocean
931,North Pacific Ocean
932,Bering Sea
933,South Pacific Ocean
934,Bering Sea
935,Bering Sea
936,Bering Sea
937,Bering Sea
938,Bering Sea
939,Bering Sea
940,Bering Sea
941,Bering Sea
942,Bering Sea
943,North Pacific Ocean
944,South Pacific Ocean
945,Bering Sea
946,Bering Sea
947,Bering Sea
948,Bering Sea
949,South Pacific Ocean
950,Bering Sea
951,North Pacific Ocean
952,North Pacific Ocean
953,South Pacific Ocean
954,Bering Sea
955,Bering Sea
956,North Pacific Ocean
957,South Pacific Ocean
958,North Pacific Ocean
959,North Pacific Ocean
960,Bering Sea
961,South Pacific Ocean
962,South Pacific Ocean
963,Bering Sea
964,South Pacific Ocean
965,North Pacific Ocean
966,Bering Sea
967,Bering Sea
968,Bering Sea
969,Bering Sea
970,Bering Sea
971,Bering Sea
972,Bering Sea
973,North Pacific Ocean
974,Bering Sea
975,Bering Sea
976,Bering Sea
977,Bering Sea
978,Bering Sea
979,Bering Sea
980,Bering Sea
981,Bering Sea
982,Bering Sea
983,Bering Sea
984,Bering Sea
985,Bering Sea
986,Bering Sea
987,Bering Sea
988,Bering Sea
989,Bering Sea
