,oceans_list
1538,Atlantic
1539,Atlantic
1540,Atlantic
1541,Atlantic
1542,Atlantic
1543,Atlantic
1544,Atlantic
1545,Atlantic
1546,Atlantic
1547,Atlantic
1548,Atlantic
1549,Atlantic
1550,Atlantic
1551,Atlantic
1552,Atlantic
1553,Indian
1554,Indian
1555,Indian
1556,Indian
1557,Indian
1558,Indian
1559,Indian
1560,Indian
1561,Pacific
1562,Pacific
1563,Pacific
1564,Atlantic
1565,False
1566,Atlantic
1567,Pacific
1568,Atlantic
1569,Atlantic
1570,False
1571,Atlantic
1572,Atlantic
1573,Atlantic
1574,Atlantic
1575,Atlantic
1576,Atlantic
1577,Atlantic
1578,Atlantic
1579,Atlantic
1580,Atlantic
1581,Atlantic
1582,Atlantic
1583,Atlantic
1584,Atlantic
1585,Atlantic
1586,Atlantic
1587,Atlantic
1588,Atlantic
1589,Atlantic
1590,Atlantic
1591,Atlantic
1592,Atlantic
1593,Atlantic
1594,Atlantic
1595,Atlantic
1596,Atlantic
1597,Atlantic
1598,Atlantic
1599,Atlantic
1600,Atlantic
1601,Atlantic
1602,Atlantic
1603,Atlantic
1604,Atlantic
1605,Atlantic
1606,Atlantic
1607,Atlantic
1608,Atlantic
1609,Atlantic
1610,Atlantic
1611,Atlantic
1612,Pacific
1613,Atlantic
1614,Atlantic
1615,Pacific
1616,Pacific
1617,Pacific
1618,Pacific
1619,Pacific
1620,Pacific
1621,Pacific
1622,Pacific
1623,Atlantic
1624,Pacific
1625,Pacific
1626,False
1627,Pacific
1628,Pacific
1629,Pacific
1630,Atlantic
1631,Atlantic
1632,Atlantic
1633,Pacific
1634,Atlantic
1635,Atlantic
1636,Pacific
1637,Pacific
1638,Pacific
1639,Pacific
1640,Atlantic
1641,Atlantic
1642,Atlantic
1643,Atlantic
1644,False
1645,Pacific
1646,Pacific
1647,Pacific
1648,Pacific
1649,Pacific
1650,Pacific
1651,Pacific
1652,Pacific
1653,Pacific
1654,Pacific
1655,Atlantic
1656,Atlantic
1657,Atlantic
1658,Pacific
1659,Pacific
1660,Pacific
1661,Pacific
1662,Pacific
1663,Pacific
1664,Pacific
1665,False
1666,Pacific
1667,Atlantic
1668,Pacific
1669,Pacific
1670,Pacific
1671,Pacific
1672,Pacific
1673,Pacific
1674,Pacific
1675,Atlantic
1676,Atlantic
1677,Atlantic
1678,Pacific
1679,Pacific
1680,Indian
1681,Atlantic
1682,Atlantic
1683,Atlantic
1684,Pacific
1685,Atlantic
1686,Pacific
1687,Pacific
1688,Pacific
1689,Pacific
1690,Pacific
1691,Pacific
1692,Pacific
1693,Pacific
1694,Pacific
1695,Indian
1696,Atlantic
1697,Pacific
1698,Atlantic
1699,Atlantic
1700,Atlantic
1701,Atlantic
1702,Atlantic
1703,Pacific
1704,False
1705,False
1706,False
1707,Indian
1708,Indian
1709,False
1710,Indian
1711,Indian
1712,Indian
1713,Indian
1714,Indian
1715,Indian
1716,Indian
1717,False
1718,False
1719,Pacific
1720,Indian
1721,Indian
1722,Atlantic
1723,Atlantic
1724,Atlantic
1725,Atlantic
1726,Atlantic
1727,Atlantic
1728,Atlantic
1729,Atlantic
1730,Atlantic
1731,Atlantic
1732,Atlantic
1733,Indian
1734,Indian
1735,Indian
1736,Indian
1737,Atlantic
1738,Atlantic
1739,False
1740,Pacific
1741,Pacific
1742,Atlantic
1743,Indian
1744,Atlantic
1745,Atlantic
1746,Atlantic
1747,Pacific
1748,Atlantic
1749,Atlantic
1750,Atlantic
1751,Atlantic
1752,Atlantic
1753,Atlantic
1754,Atlantic
1755,Atlantic
1756,Atlantic
1757,Atlantic
1758,Atlantic
1759,Atlantic
1760,Atlantic
1761,Atlantic
1762,Atlantic
1763,Atlantic
1764,False
1765,Atlantic
1766,Atlantic
1767,Atlantic
1768,Atlantic
1769,Atlantic
1770,Atlantic
1771,Atlantic
1772,Atlantic
1773,Atlantic
1774,Atlantic
1775,Atlantic
1776,Atlantic
1777,Atlantic
1778,Atlantic
1779,Atlantic
1780,Atlantic
1781,Atlantic
1782,Atlantic
1783,Atlantic
1784,Pacific
1785,Atlantic
1786,Pacific
1787,Pacific
1788,Pacific
1789,Pacific
1790,Pacific
1791,Pacific
1792,False
1793,Pacific
1794,Pacific
1795,Pacific
1796,Pacific
1797,Pacific
1798,Pacific
1799,Atlantic
1800,Atlantic
1801,Atlantic
1802,Atlantic
1803,Atlantic
1804,Atlantic
1805,Atlantic
1806,Pacific
1807,Pacific
1808,Pacific
1809,Pacific
1810,Pacific
1811,Pacific
1812,Pacific
1813,Pacific
1814,Atlantic
1815,Atlantic
1816,Pacific
1817,Atlantic
1818,Atlantic
1819,Pacific
1820,Pacific
1821,Atlantic
1822,Pacific
1823,False
1824,Pacific
