,ocean
2316,pacific
2317,atlantic
2318,false
2319,pacific
2320,pacific
2321,false
2322,pacific
2323,indian
2324,indian
2325,false
2326,false
2327,atlantic
2328,false
2329,indian
2330,false
2331,pacific
2332,indian
2333,pacific
2334,atlantic
2335,false
2336,indian
2337,false
2338,atlantic
2339,false
2340,pacific
2341,false
2342,false
2343,pacific
2344,pacific
2345,false
2346,false
2347,false
2348,false
2349,atlantic
2350,false
2351,indian
2352,pacific
2353,indian
2354,false
2355,false
2356,pacific
2357,indian
2358,false
2359,false
2360,false
2361,pacific
2362,pacific
2363,pacific
2364,pacific
2365,indian
2366,atlantic
2367,pacific
2368,indian
2369,pacific
2370,false
2371,false
2372,false
2373,atlantic
2374,pacific
2375,pacific
2376,indian
2377,pacific
2378,false
2379,indian
2380,pacific
2381,false
2382,false
2383,false
2384,indian
2385,false
2386,false
2387,false
2388,indian
2389,false
2390,false
2391,false
2392,atlantic
2393,pacific
2394,false
2395,atlantic
2396,atlantic
2397,false
2398,atlantic
2399,atlantic
2400,atlantic
2401,pacific
2402,atlantic
2403,indian
2404,false
2405,atlantic
2406,atlantic
2407,pacific
2408,indian
2409,indian
2410,false
2411,false
2412,false
2413,false
2414,false
2415,pacific
2416,pacific
2417,false
2418,false
2419,pacific
